task_id,pos_id,pos_name,reconciliation_date,reconciliation_certified,task_description,task_status,task_priority,task_start_date,task_due_date,task_notes
1,40, Montaione,1-Aug,FALSE, tx in errore? R,In Progress,High,2-Aug,10-Aug,"Stefanai (pdv, no rob), tel in che 1/8 andata via corrente e br nn torna. Checked w/I e finanz + g f ma torna, uno scontrino nn entrato , segnalato a R. se nn risp, alza corrisp e basta. Versamento torna, per qualche motivo nn entrato nel brogliaccio, nn starti a girare i coglioni"
2,46, Capranica,12-Aug,FALSE," b. celiach bruc 1,47e",In Progress,High,13-Aug,13-Aug,claudia tel in - buono bruciato . Se cliente chiede faccio buono rimb altrim ciccia
3,33, manciano,10-Aug,TRUE, 105 1aN,In Progress,High,13-Aug,14-Aug,"angelo tel in. Iacopo chiuso br cn diff cassa 100€, cassiera no fatto fine turn. Angelo ricontato fondo cassaf e aveva 105 eur in + . Io 1aN 105 cassa avere e abbasso diff cassa negat di 105. Angelo prende 105 in piuù da cassaforte e li versa a parte cn br 13/8. inserisce riga apposita versame e io metto cassa dare per bilanciare."
4,46, Capranica,5-Aug,TRUE, 104 poltr ,Done,High,13-Aug,13-Aug,"mi dava sbilancio cassa trans. Vedi appunti cart cdp . Da 3027,43 - 598,95"
5,41, Santa Fiora,10-Aug,FALSE, chiuso sdr 11/8 tarda matt,Done,High,13-Aug,13-Aug,sabrina tel in. Got e/c sdr from mirella (email in) e edited pag. carta coop + versam assegno
6,46, Capranica,13-Aug,FALSE, diff cassa + ,In Progress,High,14-Aug,20-Aug,carlo / claudia tel in. Wait x R cause i can't find the missing tx closed in cash . No tx err- ricontano fondo cassaforte (M)
7,37, Pomarance,14-Aug,FALSE," Giulio tel in, ft pag su tx sbagliata",In Progress,High,14-Aug,20-Aug,check br che ft/nc storno ok. Giulio emesso ft pag su scontrino sbagliato. Emesso ft gusta x cliente. Poi insieme x tel stornato ft pag sbagliata. IO - check che in br ok e in rds ok su scheda cliente
8,40, Montaione,13-Aug,FALSE, O tel in,In Progress,High,14-Aug,20-Aug,"pdv error key versam 500EUR in br, tbd by pdv change row code to versam regolare 500 eur in assegno (ricevuto versam prestito in 500 eur contanti e 500 assegno). Fanno tutto da soli (riga 500 eur assegno in dare che versano in banca) ma mi mandano documentazione. "
9,14, Abbadia San Salvatore,13-Aug,FALSE," luigi tel in, R out",Done,High,14-Aug,20-Aug,"Wait x R feedback. Luigi squadro 11 € c/ca. lui versa quello che ha fisicamente. Avevano chiuso casse male giorno prima e generato +/- 500 eur c/ca. neutralizz ma gli resta cosi. Aspe R. se no pss che diff cassa sbagliata? Cmq sistema. Brozzi tel out , cmq fatto casino lui cn 10 eur. spalma su diff cassa (detto lui, no io!!)"
10,31, Bolsena,13-Aug,FALSE, doppio pag bancomat? R,In Progress,High,14-Aug,20-Aug,"waiting 4 R feedback . If conf. , ask O x riaccredito. Mattia email in, tel out confirmed casino su questo pagam. Amico di collega, gli chiedono conferma e mi fanno sapere"
